year,city,country,city_avg_temp,city_avg_5,city_avg_10,city_avg_15,global_avg_temp,global_avg_5,global_avg_10,global_avg_15
1750,Berlin,Germany,9.83, , , ,8.72, , , 
1751,Berlin,Germany,9.75, , , ,7.98, , , 
1752,Berlin,Germany,4.84, , , ,5.78, , , 
1753,Berlin,Germany,8.72, , , ,8.39, , , 
1754,Berlin,Germany,8.49,8.326, , ,8.47,7.868, , 
1755,Berlin,Germany,8.26,8.012, , ,8.36,7.796, , 
1756,Berlin,Germany,9.62,7.986, , ,8.85,7.97, , 
1757,Berlin,Germany,9.15,8.848, , ,9.02,8.618, , 
1758,Berlin,Germany,8.25,8.754, , ,6.74,8.288, , 
1759,Berlin,Germany,9.04,8.864,8.595, ,7.99,8.192,8.03, 
1760,Berlin,Germany,8.99,9.01,8.511, ,7.19,7.958,7.877, 
1761,Berlin,Germany,9.47,8.98,8.483, ,8.77,7.942,7.956, 
1762,Berlin,Germany,8.53,8.856,8.852, ,8.61,7.86,8.239, 
1763,Berlin,Germany,8.62,8.93,8.842, ,7.5,8.012,8.15, 
1764,Berlin,Germany,8.91,8.904,8.884,8.698,8.4,8.094,8.143,8.051
1765,Berlin,Germany,8.54,8.814,8.912,8.612,8.25,8.306,8.132,8.02
1766,Berlin,Germany,8.87,8.694,8.837,8.553,8.41,8.234,8.088,8.049
1767,Berlin,Germany,8.14,8.616,8.736,8.773,8.22,8.156,8.008,8.211
1768,Berlin,Germany,8.03,8.498,8.714,8.727,6.78,8.012,8.012,8.104
1769,Berlin,Germany,8.46,8.408,8.656,8.725,7.69,7.87,7.982,8.052
1770,Berlin,Germany,8.5,8.4,8.607,8.741,7.69,7.758,8.032,8.007
1771,Berlin,Germany,7.45,8.116,8.405,8.597,7.85,7.646,7.94,7.941
1772,Berlin,Germany,9.13,8.314,8.465,8.595,8.19,7.64,7.898,7.885
1773,Berlin,Germany,9.52,8.612,8.555,8.68,8.22,7.928,7.97,7.984
1774,Berlin,Germany,8.46,8.612,8.51,8.641,8.77,8.144,8.007,8.036
1775,Berlin,Germany,10.1,8.932,8.666,8.715,9.18,8.442,8.1,8.169
1776,Berlin,Germany,8.36,9.114,8.615,8.641,8.3,8.532,8.089,8.137
1777,Berlin,Germany,8.29,8.946,8.63,8.625,8.26,8.546,8.093,8.114
1778,Berlin,Germany,9.43,8.928,8.77,8.679,8.54,8.61,8.269,8.183
1779,Berlin,Germany,10.47,9.33,8.971,8.783,8.98,8.652,8.398,8.222
1780,Berlin,Germany,8.78,9.066,8.999,8.799,9.43,8.702,8.572,8.301
1781,Berlin,Germany,9.98,9.39,9.252,8.873,8.1,8.662,8.597,8.28
1782,Berlin,Germany,8.61,9.454,9.2,8.905,7.9,8.59,8.568,8.259
1783,Berlin,Germany,9.76,9.52,9.224,9.02,7.68,8.418,8.514,8.319
1784,Berlin,Germany,7.67,8.96,9.145,8.967,7.86,8.194,8.423,8.33
1785,Berlin,Germany,7.42,8.688,8.877,8.895,7.36,7.78,8.241,8.308
1786,Berlin,Germany,7.68,8.228,8.809,8.911,8.26,7.812,8.237,8.335
1787,Berlin,Germany,9.27,8.36,8.907,8.92,8.03,7.838,8.214,8.325
1788,Berlin,Germany,8.33,8.074,8.797,8.841,8.45,7.992,8.205,8.34
1789,Berlin,Germany,8.99,8.338,8.649,8.876,8.33,8.086,8.14,8.311
1790,Berlin,Germany,9.09,8.672,8.68,8.809,7.98,8.21,7.995,8.231
1791,Berlin,Germany,9.55,9.046,8.637,8.888,8.23,8.204,8.008,8.226
1792,Berlin,Germany,8.9,8.972,8.666,8.929,8.09,8.216,8.027,8.215
1793,Berlin,Germany,9.18,9.142,8.608,8.912,8.23,8.172,8.082,8.194
1794,Berlin,Germany,10.02,9.348,8.843,8.882,8.53,8.212,8.149,8.164
1795,Berlin,Germany,8.87,9.304,8.988,8.888,8.35,8.286,8.248,8.092
1796,Berlin,Germany,9.01,9.196,9.121,8.823,8.27,8.294,8.249,8.103
1797,Berlin,Germany,10.07,9.43,9.201,8.921,8.51,8.378,8.297,8.144
1798,Berlin,Germany,9.33,9.46,9.301,8.892,8.67,8.466,8.319,8.21
